2000 4707
0 326 748
0 495 622
0 552 1804
0 624 1402
0 794 992
0 879 1246
0 899 1420
0 1573 1584
1 84 157
1 97 1520
1 209 836
1 714 1619
1 1116 1583
1 1236 1764
1 1286 1600
2 171 719
2 636 865
2 712 1832
2 753 1374
2 885 1284
2 1879 1943
3 85 852
3 359 1110
3 428 976
3 846 1775
4 81 1259
4 305 1536
4 875 1518
4 1096 1597
4 1105 1359
4 1132 1211
4 1488 1696
4 1503 1822
5 57 485
5 57 1840
5 245 1546
5 307 463
5 402 982
5 474 735
5 598 1181
5 622 820
5 700 1902
5 822 1025
5 940 1844
5 1496 1676
6 38 1539
6 66 246
6 76 1919
6 135 1563
6 179 738
6 256 711
6 299 483
6 1118 1942
7 286 1450
7 351 1391
7 354 1575
7 543 659
7 549 1097
7 754 1493
7 917 1430
8 103 524
8 257 1436
8 752 1557
8 877 1599
8 1144 1378
8 1381 1937
8 1411 1416
9 156 1681
9 227 1120
9 295 1243
9 412 666
9 435 1512
9 491 578
9 619 1733
9 895 1629
9 1149 1621
9 1213 1771
9 1718 1865
10 292 1797
10 520 1799
10 715 1463
10 1174 1394
10 1745 1860
11 114 1898
11 153 1245
11 156 480
11 314 1845
11 613 1401
11 870 1508
11 1480 1621
12 81 1367
12 86 918
12 141 1578
12 276 663
12 607 1763
12 1276 1878
12 1511 1907
13 186 1760
13 700 1912
13 774 1956
13 798 986
13 942 1985
13 1088 1370
13 1381 1855
14 188 1249
14 265 1346
14 410 1340
14 449 1013
14 585 1158
14 903 1574
14 917 1565
14 930 1810
14 963 980
15 82 1676
15 427 1778
15 460 1681
15 597 1301
15 912 1290
15 1019 1285
16 223 1249
16 248 1794
16 574 1749
16 592 657
16 677 1965
16 1580 1637
17 130 1159
17 276 1330
17 466 988
17 538 1445
17 590 614
17 892 1237
18 182 363
18 441 990
18 492 1133
18 617 1841
18 804 1922
18 844 1818
18 1033 1396
19 38 401
19 440 1885
19 555 1456
19 1133 1977
19 1205 1871
19 1288 1718
19 1640 1673
20 145 814
20 186 255
20 224 465
20 261 1744
20 265 1568
20 373 865
20 412 989
20 426 1962
20 464 900
20 516 1076
20 946 1887
21 32 1744
21 159 1167
21 358 1981
21 431 1059
21 673 1853
21 694 1943
21 913 1167
21 1460 1547
21 1646 1761
22 126 1781
22 291 1541
22 533 1784
22 630 1438
22 689 1071
22 754 1560
22 914 1214
22 918 1653
23 118 924
23 187 1530
23 438 756
23 925 1979
23 972 1450
23 1173 1227
23 1352 1618
23 1678 1865
24 168 1315
24 206 787
24 253 900
24 256 750
24 516 630
24 795 1549
24 1030 1961
24 1036 1874
24 1219 1931
24 1246 1330
24 1615 1881
25 71 1351
25 230 928
25 250 1562
25 431 1768
25 922 1189
25 1515 1822
26 106 397
26 135 633
26 283 917
26 305 1462
26 335 409
26 607 1741
26 626 877
26 659 1123
26 906 1716
26 1135 1256
26 1167 1628
27 159 198
27 502 662
27 660 1643
27 1450 1915
28 596 772
28 643 1588
28 696 1070
28 736 1770
28 753 908
28 754 1969
28 1265 1835
28 1309 1911
29 276 1694
29 784 1246
29 880 1806
29 899 1769
29 1765 1930
30 93 391
30 289 1825
30 353 1995
30 726 1891
30 735 737
30 1013 1397
30 1229 1869
30 1755 1985
31 165 891
31 240 1998
31 287 1110
31 486 1574
31 548 1816
31 633 1177
31 719 1979
31 1860 1929
32 126 1682
32 371 623
32 995 1271
32 1028 1199
32 1378 1432
33 184 1714
33 194 790
33 745 922
33 1110 1846
33 1123 1567
33 1492 1905
34 270 1579
34 478 505
34 628 1141
34 1117 1406
35 172 685
35 681 1100
35 1832 1856
36 400 1284
36 913 1050
36 1088 1529
36 1210 1479
36 1800 1929
37 87 610
37 94 469
37 743 904
37 744 1695
37 785 852
37 802 1454
37 842 1941
37 1300 1760
37 1823 1962
38 120 1218
38 184 1234
38 310 358
38 1363 1589
38 1553 1582
38 1621 1719
39 61 1241
39 74 978
39 541 1726
39 694 1820
39 1392 1844
40 188 994
40 210 1836
40 235 879
40 337 1295
40 494 714
40 762 1011
41 85 254
41 398 942
41 487 1629
41 510 992
41 562 801
41 677 1228
41 680 1374
41 896 1807
41 1820 1926
42 200 1703
42 259 1645
42 364 1633
42 402 1661
42 435 1322
42 568 1480
42 862 1128
42 1164 1386
42 1586 1636
43 50 454
43 213 480
43 574 1773
43 691 1789
43 740 1863
43 936 1393
43 1191 1532
43 1712 1743
44 104 794
44 222 936
44 350 544
44 381 1850
44 486 543
44 498 1662
44 797 1198
44 930 1134
45 77 1389
45 98 1213
45 519 1037
45 630 1492
45 727 1213
45 1130 1919
45 1273 1425
46 178 1999
46 888 1062
46 899 1285
46 1012 1280
47 63 771
47 444 1903
47 1037 1930
47 1099 1411
47 1152 1716
47 1255 1589
47 1474 1799
48 75 1189
48 265 717
48 471 561
48 486 1526
