1899 2055
0 710 1049
1 190 732
1 1766 1780
2 302 1662
2 631 1096
2 639 1109
3 341 506
3 677 1244
3 976 1230
3 1171 1651
4 126 1763
5 819 972
5 1228 1897
5 1583 1868
6 315 1372
7 111 179
8 570 1869
8 1019 1041
8 1138 1602
8 1327 1824
9 158 1407
9 237 1629
9 363 1863
9 664 904
9 794 1171
10 361 1240
10 459 1878
10 658 1402
11 63 703
11 109 216
11 644 1293
11 1247 1461
12 458 830
12 1065 1359
13 1209 1676
14 156 1309
15 34 144
15 393 508
16 23 434
16 485 1872
16 767 1406
16 1536 1723
17 171 549
18 26 659
18 115 1229
18 157 367
18 205 955
18 654 1827
18 788 902
18 1346 1569
19 58 821
19 821 1125
19 1260 1465
19 1479 1826
20 38 1233
20 271 465
20 828 1143
21 262 1267
21 287 532
21 363 386
22 1062 1312
23 58 1522
23 300 1649
23 689 700
23 1442 1476
24 569 939
24 1082 1772
24 1668 1798
25 67 474
25 726 1428
26 29 1161
26 245 1188
26 410 819
26 1593 1744
27 173 874
27 985 1125
28 224 632
29 476 769
29 1002 1587
30 724 881
30 817 1718
31 78 706
31 130 1559
31 1256 1655
31 1271 1316
31 1422 1765
32 306 581
32 787 1824
32 860 1031
32 1186 1864
33 709 1521
33 1096 1750
33 1468 1663
34 905 1494
34 1000 1526
35 443 1315
35 1071 1719
36 190 1041
36 512 603
36 549 1160
37 173 196
37 368 1485
37 821 1224
37 837 1755
37 1076 1775
37 1232 1461
38 81 466
39 475 1374
39 553 1604
39 889 1617
39 911 1513
39 1012 1026
40 98 404
40 687 1712
41 382 679
41 382 1126
41 521 698
41 917 951
42 334 840
42 762 1254
43 126 319
43 174 1821
43 783 1825
44 194 957
44 272 299
44 342 412
44 1250 1760
45 703 1825
46 862 1477
47 130 1892
47 680 1141
47 805 1015
47 1218 1316
47 1540 1770
48 186 1541
48 221 1288
48 238 946
48 292 1124
48 703 868
48 1157 1166
49 57 561
49 905 1059
49 1111 1118
50 522 1219
50 735 1687
51 458 1000
51 524 1193
51 532 897
51 1183 1749
52 332 791
52 665 1215
52 976 977
52 1335 1781
52 1369 1501
53 384 1040
53 837 1399
53 888 1500
53 1093 1680
53 1512 1764
54 965 1271
54 1200 1292
55 1195 1558
55 1232 1645
56 197 620
56 494 1125
56 578 770
56 588 1389
56 1676 1864
57 199 227
57 1435 1628
58 103 831
58 356 1475
58 589 1038
59 193 1796
59 878 1531
59 1075 1678
59 1443 1581
60 379 404
60 541 740
60 591 954
60 616 1527
61 686 1233
61 1585 1678
62 579 1187
63 609 860
63 617 707
63 759 1801
63 779 1857
64 474 1337
64 539 1463
64 978 1875
65 1205 1625
65 1593 1750
66 67 1330
66 202 577
66 206 947
66 249 1854
66 814 1881
66 819 1560
67 384 530
67 472 1025
67 511 1890
67 650 1017
67 1061 1376
67 1159 1348
67 1429 1808
68 149 663
68 327 1580
68 728 897
68 1166 1446
69 576 1392
69 595 1482
69 1215 1487
69 1772 1780
70 91 924
70 320 1630
70 583 1514
70 1641 1650
71 255 675
71 588 1130
72 94 127
